,City,Latitude,Longitude,Temperature (C),Cloud Cover,Humidity,Wind Speed (MPH),Country
0,Sefrou,33.83186,-4.828,17.36,75,59,11.8,MA
1,Chandvad,20.33333,74.25,25.21,76,47,0.41,IN
2,Monte Alegre,-2.00778,-54.069172,29.19,80,75,1.46,BR
3,Shamakhi,40.631409,48.641369,0.86,80,98,0.61,AZ
4,Vienna,48.208488,16.37208,-5.95,75,73,6.2,AT
5,Sarwar,26.066669,75.0,19.49,0,69,1.41,IN
6,Fujin,47.259998,132.032227,-9.52,88,81,6.46,CN
7,Etawah,26.776899,79.023903,20.81,20,61,1.31,IN
8,Goianesia,-15.3175,-49.1175,33.19,0,42,3.51,BR
9,Trento,46.067871,11.12108,-6.14,90,85,6.2,IT
10,Grahamstown,-33.304218,26.532761,18.56,92,98,3.66,ZA
11,Summerville,33.018501,-80.175652,23.74,40,50,6.7,US
12,Iguatu,-6.35944,-39.298611,28.39,0,95,1.91,BR
13,Jalna,19.83333,75.883331,20.71,8,57,1.21,IN
14,Damnagar,21.700001,71.51667,24.14,48,52,2.21,IN
15,San Joaquin,10.263,-67.785797,29.0,20,58,1.61,VE
16,Niigata-shi,37.902222,139.023605,1.21,88,88,9.61,JP
17,Chacabuco,-34.64167,-60.473888,31.39,0,48,1.91,AR
18,Bhera,32.483181,72.909698,14.86,44,92,2.11,PK
19,Pau,43.299999,-0.36667,12.94,75,71,3.6,FR
20,Zhongshu,24.51667,103.76667,13.79,0,47,4.56,CN
21,Sylhet,24.896669,91.871674,20.89,24,87,0.96,BD
22,San Luis,-33.29501,-66.335632,29.44,44,39,0.51,AR
23,Mubi,10.26761,13.26436,30.06,32,21,2.51,NG
24,Boone,36.216801,-81.674553,11.42,92,93,0.91,US
25,Vranje,42.551392,21.90028,-2.0,90,63,0.5,RS
26,Calama,-22.466669,-68.933327,22.0,0,13,6.7,CL
27,Bad Langensalza,51.099998,10.65,-6.0,0,53,5.7,DE
28,Mogi das Cruzes,-23.522779,-46.188332,30.0,75,48,1.5,BR
29,Cambridge,-37.87822,175.440201,18.56,80,92,4.96,NZ
30,Lucaya,26.533331,-78.666672,26.0,75,65,1.5,BS
31,Manresa,41.724979,1.82656,13.0,90,87,1.0,ES
32,Bohicon,7.17826,2.0667,31.54,0,48,1.86,BJ
33,Pithapuram,17.116671,82.26667,20.04,0,85,1.01,IN
34,Horlivka,48.346981,38.054192,-6.52,32,86,5.01,UA
35,Piui,-20.465281,-45.958061,28.21,24,75,0.76,BR
36,Jaguaruana,-4.83389,-37.781109,26.44,36,97,3.41,BR
37,Federal Way,47.322319,-122.312622,2.27,75,93,1.51,US
38,Diamantina,-18.249439,-43.600281,26.99,36,80,0.61,BR
39,Varginha,-21.55139,-45.430279,30.39,8,62,2.36,BR
40,Dolores,-33.54417,-58.19722,28.11,20,74,1.96,UY
41,Obera,-27.487061,-55.119942,29.61,64,67,1.31,AR
42,Salima,-13.7804,34.458698,19.69,92,100,1.16,MW
43,Kerpen,50.866669,6.7,-0.15,0,33,5.7,DE
44,Fort Portal,0.66174,30.274799,16.86,68,97,1.01,UG
45,Ciudad Serdan,18.98333,-97.449997,26.06,0,26,0.91,MX
46,Tono,39.316669,141.533325,-1.07,64,61,6.91,JP
47,Kingisepp,59.37331,28.61343,-15.22,0,80,2.51,RU
48,Yebaishou,41.397499,119.640831,-6.67,44,54,4.96,CN
49,Jiashan,30.84918,120.925827,7.0,0,65,5.0,CN
50,Malavalli,12.38333,77.083328,19.59,0,51,3.66,IN
