,Media Outlet,Positive Score,Tweet Text,Compound Score,Negative Score,Neutral Score,Date
0,@BBC,0.0,"Lucy and Lee are back! 🙌🎉

#NotGoingOut | 9pm | @BBCOne | https://t.co/dUnnFaIoci https://t.co/gSpTMCPrSC",0.0,0.0,1.0,Thu Mar 08 20:03:04 +0000 2018
1,@BBC,0.0,"What advice would YOU give your younger self? 🤔

#InternationalWomensDay #IWD2018 https://t.co/vIwPLtzTbO",0.0,0.0,1.0,Thu Mar 08 18:00:06 +0000 2018
2,@BBC,0.159,"In recognition of International Women’s Day, a playlist in celebration of the funniest, saddest and most significan… https://t.co/4WCrxvJxFY",-0.1027,0.177,0.664,Thu Mar 08 17:30:11 +0000 2018
3,@BBC,0.0,"🔬 More than half of the UK can't name a famous woman in science. 

Time to change that. 
👉 https://t.co/3HVhvFaxaT… https://t.co/KL0D1vIw8S",0.0,0.0,1.0,Thu Mar 08 17:00:09 +0000 2018
4,@BBC,0.236,"✍️🙌 Lotte Reiniger is the unsung heroine of early animation. 

#InternationalWomensDay #IWD2018 https://t.co/Z4qDFWXcCS",0.5719,0.0,0.764,Thu Mar 08 16:30:05 +0000 2018
5,@BBC,0.181,"RT @BBCMOTD: Favourite emoji?
Champions League or World Cup?

@TekkerzKid quizzes @ManUtd striker @MarcusRashford for #BBCOwnIt.

📺 Check o…",0.5803,0.0,0.819,Thu Mar 08 16:05:42 +0000 2018
6,@BBC,0.0,"⚽️🥅 The story of the fall and rise of women's football, told through 10 objects collected by the National… https://t.co/xOi8wNW64N",0.0,0.0,1.0,Thu Mar 08 15:30:09 +0000 2018
7,@BBC,0.0,"RT @bbcmusic: 🙌 @Camila_Cabello just dropped the video for 'Never Be The Same' 💕
What do you think?

Watch 👉 https://t.co/gv60m6x9Wk https:…",0.0,0.0,1.0,Thu Mar 08 15:09:13 +0000 2018
8,@BBC,0.0,"Nine-year-old Lola thinks more girls should take up skateboarding.

Lola is rad. 🤘😝

#InternationalWomensDay… https://t.co/EeOygOVfoh",0.0,0.0,1.0,Thu Mar 08 15:00:05 +0000 2018
9,@BBC,0.0,"🎨🖼 #AnnieSwynnerton: The woman who forced open the male art world and blazed a trail for female artists.
👉… https://t.co/rHDoqWL4iI",-0.4588,0.143,0.857,Thu Mar 08 14:30:02 +0000 2018
10,@BBC,0.0,"🎓🎒 These women are pushing young girls into school, not marriage. 

#InternationalWomensDay #IWD2018 https://t.co/TIf5lbu3GZ",0.0,0.0,1.0,Thu Mar 08 13:30:05 +0000 2018
11,@BBC,0.0,"RT @bbcworldservice: In Senegal, graffiti artist Zeinixx is campaigning for women's rights... with spray paint. 🇸🇳 https://t.co/cy2ddCmEKo",0.0,0.0,1.0,Thu Mar 08 13:09:22 +0000 2018
12,@BBC,0.0,"RT @bbc5live: “That was the end of my childhood”

Money saving expert @MartinSLewis opens up to @tonylivesey about the death of his mum, th…",-0.5994,0.145,0.855,Thu Mar 08 13:02:03 +0000 2018
13,@BBC,0.0,🎤 🎧Grime through time: A brief history of one of the biggest music genres to come out of the UK https://t.co/876CsOCFsa,0.0,0.0,1.0,Thu Mar 08 13:00:08 +0000 2018
14,@BBC,0.0,"RT @BBCRadio4: Ten female authors who changed sci-fi: https://t.co/r5s1mqYrQD
#IWD2018 https://t.co/cQxHsT9c3E",0.0,0.0,1.0,Thu Mar 08 12:34:42 +0000 2018
15,@BBC,0.0,"Thousands of women in the UK can't afford to buy tampons and towels. 

#InternationalWomensDay #IWD2018 https://t.co/66P7IrZ9lB",0.0,0.0,1.0,Thu Mar 08 12:30:04 +0000 2018
16,@BBC,0.205,"👷👷‍♀️ Building future engineers - it's a lot easier than you think! 

#BitzAndBob | @CbeebiesHQ https://t.co/YV3kTIj0Dx",0.4753,0.0,0.795,Thu Mar 08 12:00:02 +0000 2018
17,@BBC,0.211,"RT @BBCR1: 💛💛💛 

Who's ready for @thegreatkhalid in the Live Lounge?

Make sure you're listening to @claraamfo at 12pm 👉 https://t.co/48Ruy…",0.5859,0.0,0.789,Thu Mar 08 11:46:51 +0000 2018
18,@BBC,0.0,"Life advice from one of our all-time favourite women, @DawnFrenchUK.  

#InternationalWomensDay #IWD2018 https://t.co/MAOUgpWb7J",0.0,0.0,1.0,Thu Mar 08 11:00:05 +0000 2018
19,@BBC,0.279,RT @bbcthree: Happy International Women’s Day! Here's @StaceyDooley with some top tips for aspiring broadcasters #IWD2018 https://t.co/Rbq7…,0.6996,0.0,0.721,Thu Mar 08 10:54:28 +0000 2018
20,@BBC,0.0,RT @bbcarts: Clay artist @_PhoebeCummings launches her new incredible new work on #InternationalWomensDay. Audiences can watch as the sculp…,0.0,0.0,1.0,Thu Mar 08 10:32:59 +0000 2018
21,@BBC,0.171,"RT @BBCRadio4: Who are the women that inspire you the most?
From Dawn_French to @Leomie_Anderson, @ScarlettMoffatt to @saoirse_ronan, women…",0.5719,0.0,0.829,Thu Mar 08 09:57:10 +0000 2018
